Feature,Importance
fiBaseModel_S250,6.2455546749185595e-06
fiBaseModel_670,6.012870849874869e-06
fiModelDesc_WA250PT5L,5.986928327396967e-06
fiBaseModel_312,5.889284505907696e-06
fiModelDesc_S250,5.8476496069299315e-06
fiBaseModel_928,5.841012173246232e-06
fiModelDesc_PC220LC8,5.830200800271916e-06
saledate_2007-09-19,5.800697848704462e-06
fiModelDesc_770CHII,5.793884304542636e-06
fiBaseModel_R250,5.782894396449498e-06
"fiProductClassDesc_Hydraulic Excavator, Track - 5.0 to 6.0 Metric Tons",5.603569461226036e-06
Hydraulics_Base + 3 Function,5.5534172303196e-06
saledate_2011-02-07,5.534924109486442e-06
fiModelDesc_580K,5.519780488925744e-06
fiSecondaryDesc_XT,5.507908258742742e-06
fiModelDesc_580SUPER K,5.468587075660555e-06
state_Georgia,5.363916134305976e-06
fiBaseModel_863,5.356959925679053e-06
fiModelDesc_416C,5.322333380752223e-06
Blade_Width_None or Unspecified,5.2428809878233855e-06
fiModelDesc_312BL,5.225656075183432e-06
fiModelDesc_EX120-5,5.199685904712878e-06
fiModelDesc_863,5.19520118363706e-06
fiModelDesc_D6RIIIXL,5.101635374094309e-06
fiProductClassDesc_Wheel Loader - 350.0 to 500.0 Horsepower,5.052410882747092e-06
Enclosure_Type_None or Unspecified,5.014653839348639e-06
state_Arizona,4.890330922347806e-06
saledate_2008-03-27,4.882672768893531e-06
saledate_2003-05-28,4.880519770652942e-06
Travel_Controls_Differential Steer,4.855004955473551e-06
saledate_1999-10-12,4.8250507086242464e-06
Coupler_Manual,4.821025165064088e-06
saledate_1999-04-20,4.802678557585366e-06
fiBaseModel_990,4.665052155298257e-06
fiModelDesc_928G,4.656907918141555e-06
saledate_2008-06-30,4.632423670498332e-06
state_Washington,4.614016858100487e-06
fiModelDesc_WA500-3LK,4.535887398975622e-06
state_Alabama,4.496823803974129e-06
fiModelDesc_G990,4.420860782212056e-06
Grouser_Type_Double,4.405988175061444e-06
fiModelDescriptor_3C,4.3632764209247624e-06
saledate_1997-09-23,4.30837464212865e-06
state_Arizona,4.294522464151086e-06
saledate_2007-01-19,4.290520146886206e-06
saledate_1996-07-16,4.256646941104079e-06
saledate_2010-02-15,4.234061754605496e-06
fiProductClassDesc_Skid Steer Loader - 701.0 to 976.0 Lb Operating Capacity,4.216050848540685e-06
fiBaseModel_G710,4.199486468831164e-06
fiModelDesc_PC220LC3,4.1892910416620205e-06
saledate_2011-04-12,4.184731656320092e-06
state_Michigan,4.1093512834015635e-06
Coupler_Hydraulic,4.106879687443715e-06
saledate_2010-05-06,3.928765563957548e-06
saledate_2008-02-19,3.891602184543951e-06
Hydraulics_Auxiliary,3.885909835806968e-06
fiModelDesc_GD655-3,3.861986225044981e-06
Ripper_Single Shank,3.861731723252665e-06
state_Oklahoma,3.828942430587243e-06
state_Ohio,3.821045344210255e-06
saledate_2005-04-12,3.750549261559799e-06
fiModelDescriptor_LC,3.6682529706830478e-06
Blade_Type_VPAT,3.6017420968216507e-06
fiBaseModel_865,3.56807373285727e-06
