per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
42,1,1,0,3,1,241
43,1,1,0,3,1,251
44,1,1,0,3,1,233
45,1,1,0,3,1,258
46,1,1,0,3,1,234
47,1,1,0,3,1,233
48,1,1,0,3,1,249
37,1,1,0,4,1,323
38,1,1,0,4,1,339
39,1,1,0,4,1,330
40,1,1,0,4,1,327
41,1,1,0,4,1,341
42,1,1,0,4,1,329
43,1,1,0,4,1,346
44,1,1,0,4,1,359
45,1,1,0,4,1,355
46,1,1,0,4,1,347
47,1,1,0,4,1,364
48,1,1,0,4,1,346
37,1,1,0,5,1,331
38,1,1,0,5,1,327
39,1,1,0,5,1,338
40,1,1,0,5,1,382
41,1,1,0,5,1,343
42,1,1,0,5,1,351
43,1,1,0,5,1,366
44,1,1,0,5,1,380
45,1,1,0,5,1,388
46,1,1,0,5,1,359
47,1,1,0,5,1,397
48,1,1,0,5,1,410
37,1,2,0,1,1,717
38,1,2,0,1,1,741
39,1,2,0,1,1,706
40,1,2,0,1,1,746
41,1,2,0,1,1,710
42,1,2,0,1,1,704
43,1,2,0,1,1,717
44,1,2,0,1,1,725
45,1,2,0,1,1,718
